
Note: No compatibility mode selected!


Circuit: * tb_chip_spi.spice -- chip-level ngspice testbench for tr_1um_3wire_spi.

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vdd                                          5
vss                                          0
p15                                          0
p3                                           5
p5                                           0
p1                                           0
txgate                                       0
mgate                                        5
vtx0n                                        5
vtx0s                              7.04695e-08
p6                                 2.04695e-08
vtx1n                                        0
vtx1s                              2.00265e-08
p7                                 2.00265e-08
vtx2n                                        5
vtx2s                              7.04695e-08
p9                                 2.04695e-08
vtx3n                                        5
vtx3s                              7.04695e-08
p10                                2.04695e-08
vtx4n                                        5
vtx4s                              7.04695e-08
p11                                2.04695e-08
vtx5n                                        5
vtx5s                              7.04695e-08
p12                                2.04695e-08
vtx6n                                        0
vtx6s                              2.00265e-08
p13                                2.00265e-08
vtx7n                                        0
vtx7s                              2.00265e-08
p14                                2.00265e-08
sdio_m                                       0
sdio_s                             2.15171e-09
p2                                 2.17322e-07
xdut.x1.x1.pg                                5
xdut.x1.x1.ng                      1.39324e-08
xdut.x1.x1.pgg                     7.94869e-09
xdut.x1.x1.ngg                               5
xdut.x1.x1.net2                        4.96989
xdut.x1.x1.net1                              5
xdut.x1.x1.enb                     1.43584e-08
xdut.x1.x1.net3                    6.26479e-09
xdut.x1.x4.pg                                5
xdut.x1.x4.ng                      1.39324e-08
xdut.x1.x4.pgg                     7.94869e-09
xdut.x1.x4.ngg                               5
xdut.sdio_oe_n                               5
xdut.x1.x4.net2                        4.96989
xdut.x1.x4.net1                              5
xdut.x1.x4.enb                     1.43584e-08
xdut.x1.x4.net3                    6.26479e-09
xdut.sdio_out                      2.19645e-08
xdut.x1.x5.pg                                5
xdut.x1.x5.ng                      1.39324e-08
xdut.x1.x5.pgg                     7.94869e-09
xdut.x1.x5.ngg                               5
xdut.x1.x5.net2                        4.96989
xdut.x1.x5.net1                              5
xdut.x1.x5.enb                     1.43584e-08
xdut.x1.x5.net3                    6.26479e-09
p4                                 2.00283e-08
xdut.x1.x6.pg                                5
xdut.x1.x6.ng                                5
xdut.x1.x6.pgg                     3.77213e-08
xdut.x1.x6.ngg                     5.74338e-08
xdut.x1.x6.net2                        1.26674
xdut.x1.x6.net1                              5
xdut.x1.x6.enb                               5
xdut.x1.x6.net3                    2.87169e-08
xdut.byte_end                      3.48349e-09
xdut.x1.x7.pg                                5
xdut.x1.x7.ng                      1.39324e-08
xdut.x1.x7.pgg                     7.94869e-09
xdut.x1.x7.ngg                               5
xdut.x1.x7.net2                        4.96989
xdut.x1.x7.net1                              5
xdut.x1.x7.enb                     1.43584e-08
xdut.x1.x7.net3                    6.26479e-09
xdut.x1.x8.pg                                5
xdut.x1.x8.ng                                5
xdut.x1.x8.pgg                     3.77213e-08
xdut.x1.x8.ngg                     5.74338e-08
xdut.x1.x8.net2                        1.26674
xdut.x1.x8.net1                              5
xdut.x1.x8.enb                               5
xdut.x1.x8.net3                    2.87169e-08
xdut.rx_data_0                     2.08524e-08
xdut.x1.x9.pg                                5
xdut.x1.x9.ng                                5
xdut.x1.x9.pgg                     3.77213e-08
xdut.x1.x9.ngg                     5.74338e-08
xdut.x1.x9.net2                        1.26674
xdut.x1.x9.net1                              5
xdut.x1.x9.enb                               5
xdut.x1.x9.net3                    2.87169e-08
xdut.rx_data_1                     2.08524e-08
xdut.x1.x10.pg                               5
xdut.x1.x10.ng                     1.39324e-08
xdut.x1.x10.pgg                    7.94869e-09
xdut.x1.x10.ngg                              5
xdut.x1.x10.net2                       4.96989
xdut.x1.x10.net1                             5
xdut.x1.x10.enb                    1.43584e-08
xdut.x1.x10.net3                   6.26479e-09
xdut.x1.x11.pg                               5
xdut.x1.x11.ng                               5
xdut.x1.x11.pgg                    3.77213e-08
xdut.x1.x11.ngg                    5.74338e-08
xdut.x1.x11.net2                       1.26674
xdut.x1.x11.net1                             5
xdut.x1.x11.enb                              5
xdut.x1.x11.net3                   2.87169e-08
xdut.rx_data_7                     2.08524e-08
xdut.x1.x12.pg                               5
xdut.x1.x12.ng                               5
xdut.x1.x12.pgg                    3.77213e-08
xdut.x1.x12.ngg                    5.74338e-08
xdut.x1.x12.net2                       1.26674
xdut.x1.x12.net1                             5
xdut.x1.x12.enb                              5
xdut.x1.x12.net3                   2.87169e-08
xdut.rx_data_6                     2.08524e-08
xdut.x1.x13.pg                               5
xdut.x1.x13.ng                               5
xdut.x1.x13.pgg                    3.77213e-08
xdut.x1.x13.ngg                    5.74338e-08
xdut.x1.x13.net2                       1.26674
xdut.x1.x13.net1                             5
xdut.x1.x13.enb                              5
xdut.x1.x13.net3                   2.87169e-08
xdut.rx_data_5                     2.08524e-08
xdut.x1.x14.pg                               5
xdut.x1.x14.ng                               5
xdut.x1.x14.pgg                    3.77213e-08
xdut.x1.x14.ngg                    5.74338e-08
xdut.x1.x14.net2                       1.26674
xdut.x1.x14.net1                             5
xdut.x1.x14.enb                              5
xdut.x1.x14.net3                   2.87169e-08
xdut.rx_data_4                     2.08524e-08
xdut.x1.x15.pg                               5
xdut.x1.x15.ng                               5
xdut.x1.x15.pgg                    3.77213e-08
xdut.x1.x15.ngg                    5.74338e-08
xdut.x1.x15.net2                       1.26674
xdut.x1.x15.net1                             5
xdut.x1.x15.enb                              5
xdut.x1.x15.net3                   2.87169e-08
xdut.rx_data_3                     2.08524e-08
xdut.x1.x16.pg                               5
xdut.x1.x16.ng                               5
xdut.x1.x16.pgg                    3.77213e-08
xdut.x1.x16.ngg                    5.74338e-08
xdut.x1.x16.net2                       1.26674
xdut.x1.x16.net1                             5
xdut.x1.x16.enb                              5
xdut.x1.x16.net3                   2.87169e-08
xdut.rx_data_2                     2.08524e-08
xdut.x2._12_                       2.05775e-08
xdut.x2.cs_n_buf                             5
xdut.nc_core_data_oe                         5
xdut.x2.x_37_.net1                     4.98965
xdut.x2._03_                                 5
xdut.x2.x_37_.net2                     4.97477
xdut.x2._33__0                               5
xdut.x2.x_37_.net3                     4.94848
xdut.x2._02_                                 5
xdut.x2.x_38_.net1                           5
xdut.x2._13_                       2.05775e-08
xdut.x2.x_38_.net2                     4.14374
xdut.x2.x_47_.net1                           5
xdut.x2.bit_cnt_0                  2.08524e-08
xdut.x2.x_47_.net2                           5
xdut.x2.bit_cnt_2                  2.08524e-08
xdut.x2.x_47_.net3                           5
xdut.x2.bit_cnt_1                  2.08524e-08
xdut.x2._00_                       2.05775e-08
xdut.x2.x_48_.sb                             5
xdut.x2.msb_done                   2.08524e-08
xdut.x2.x_48_.net2                           5
xdut.x2.x_48_.net3                           5
xdut.x2.x_48_.net1                           5
xdut.x2.sr_7                       2.08524e-08
xdut.x2.x_49_.net1                           5
xdut.x2.sdio_in_buf                2.05775e-08
xdut.x2._01__0                     2.05775e-08
xdut.x2.x_49_.net2                 6.26479e-09
xdut.x2.x_50_.net1                     4.97142
xdut.x2.x_50_.net2                     4.97142
xdut.x2.x_50_.net3                     4.97142
xdut.x2._14_                       7.96765e-09
xdut.x2.x_58_.net1                    0.034793
xdut.x2.x_59_.net1                           5
xdut.x2.cnt_rstn                   2.05775e-08
xdut.x2.x_59_.net2                    0.034793
xdut.x2.x_60_.net1                           5
xdut.x2.x_60_.net2                           5
xdut.x2.sclk_buf_row1              2.05775e-08
xdut.x2.x_60_.net3                           5
xdut.x2.shift_clk                  2.05775e-08
xdut.x2.x_60_.net4                 1.01169e-08
xdut.x2._15_                                 5
xdut.x2.x_61_.net1                    0.034793
xdut.x2.x_62_.net1                           5
xdut.x2.x_62_.net2                           5
xdut.x2.x_62_.net3                           5
xdut.x2._34__1                     2.05775e-08
xdut.x2.x_62_.net4                 1.01169e-08
xdut.x2.x_63_.net1                           5
xdut.x2._34__2                     1.16068e-07
xdut.x2.x_63_.net4                     1.26844
xdut.x2.x_63_.net3                     4.14374
xdut.x2.x_63_.net2                 5.80341e-08
xdut.x2.x_64_.x1_net1                        5
xdut.x2.x_64_.net1                 2.19645e-08
xdut.x2.x_64_.x1_net2                        5
xdut.x2.x_64_.x1_ckp               2.08524e-08
xdut.x2.x_64_.x1_ckb                         5
xdut.x2.x_64_.x1_net3                  4.14374
xdut.x2.x_64_.x1_qm                2.60779e-08
xdut.x2.x_64_.x1_net4                        5
xdut.x2._22_                                 5
xdut.x2.x_64_.x1_qs                7.29558e-08
xdut.x2.x_64_.x1_net5              4.95168e-08
xdut.x2.x_64_.x1_net6                 0.034793
xdut.x2.sclk_buf_row0              2.05775e-08
xdut.x2.x_64_.x2_sb                          5
xdut.x2.x_64_.x2_net2                        5
xdut.x2.x_64_.x2_net3                        5
xdut.x2.x_64_.x2_net1                        5
xdut.x2.x_65_.x1_net1                        5
xdut.x2.x_65_.net1                 2.19645e-08
xdut.x2.x_65_.x1_net2                        5
xdut.x2.x_65_.x1_ckp               2.08524e-08
xdut.x2.x_65_.x1_ckb                         5
xdut.x2.x_65_.x1_net3                  4.14374
xdut.x2.x_65_.x1_qm                2.60779e-08
xdut.x2.x_65_.x1_net4                        5
xdut.x2._21_                                 5
xdut.x2.x_65_.x1_qs                7.29558e-08
xdut.x2.x_65_.x1_net5              4.95168e-08
xdut.x2.x_65_.x1_net6                 0.034793
xdut.x2.x_65_.x2_sb                          5
xdut.x2.x_65_.x2_net2                        5
xdut.x2.x_65_.x2_net3                        5
xdut.x2.x_65_.x2_net1                        5
xdut.x2.sr_0                       2.08524e-08
xdut.x2.x_66_.x1_net1                        5
xdut.x2.x_66_.net1                 2.19645e-08
xdut.x2.x_66_.x1_net2                        5
xdut.x2.x_66_.x1_ckp               2.08524e-08
xdut.x2.x_66_.x1_ckb                         5
xdut.x2.x_66_.x1_net3                  4.14374
xdut.x2.x_66_.x1_qm                2.60779e-08
xdut.x2.x_66_.x1_net4                        5
xdut.x2._20_                                 5
xdut.x2.x_66_.x1_qs                7.29558e-08
xdut.x2.x_66_.x1_net5              4.95168e-08
xdut.x2.x_66_.x1_net6                 0.034793
xdut.x2.x_66_.x2_sb                          5
xdut.x2.x_66_.x2_net2                        5
xdut.x2.x_66_.x2_net3                        5
xdut.x2.x_66_.x2_net1                        5
xdut.x2.sr_1                       2.08524e-08
xdut.x2.x_67_.x1_net1                        5
xdut.x2.x_67_.net1                 2.19645e-08
xdut.x2.x_67_.x1_net2                        5
xdut.x2.x_67_.x1_ckp               2.08524e-08
xdut.x2.x_67_.x1_ckb                         5
xdut.x2.x_67_.x1_net3                  4.14374
xdut.x2.x_67_.x1_qm                2.60779e-08
xdut.x2.x_67_.x1_net4                        5
xdut.x2._19_                                 5
xdut.x2.x_67_.x1_qs                7.29558e-08
xdut.x2.x_67_.x1_net5              4.95168e-08
xdut.x2.x_67_.x1_net6                 0.034793
xdut.x2.x_67_.x2_sb                          5
xdut.x2.x_67_.x2_net2                        5
xdut.x2.x_67_.x2_net3                        5
xdut.x2.x_67_.x2_net1                        5
xdut.x2.sr_2                       2.08524e-08
xdut.x2.x_68_.x1_net1                        5
xdut.x2.x_68_.net1                 2.19645e-08
xdut.x2.x_68_.x1_net2                        5
xdut.x2.x_68_.x1_ckp               2.08524e-08
xdut.x2.x_68_.x1_ckb                         5
xdut.x2.x_68_.x1_net3                  4.14374
xdut.x2.x_68_.x1_qm                2.60779e-08
xdut.x2.x_68_.x1_net4                        5
xdut.x2._18_                                 5
xdut.x2.x_68_.x1_qs                7.29558e-08
xdut.x2.x_68_.x1_net5              4.95168e-08
xdut.x2.x_68_.x1_net6                 0.034793
xdut.x2.x_68_.x2_sb                          5
xdut.x2.x_68_.x2_net2                        5
xdut.x2.x_68_.x2_net3                        5
xdut.x2.x_68_.x2_net1                        5
xdut.x2.sr_3                       2.08524e-08
xdut.x2.x_69_.x1_net1                        5
xdut.x2.x_69_.net1                 2.19645e-08
xdut.x2.x_69_.x1_net2                        5
xdut.x2.x_69_.x1_ckp               2.08524e-08
xdut.x2.x_69_.x1_ckb                         5
xdut.x2.x_69_.x1_net3                  4.14374
xdut.x2.x_69_.x1_qm                2.60779e-08
xdut.x2.x_69_.x1_net4                        5
xdut.x2._17_                                 5
xdut.x2.x_69_.x1_qs                7.29558e-08
xdut.x2.x_69_.x1_net5              4.95168e-08
xdut.x2.x_69_.x1_net6                 0.034793
xdut.x2.x_69_.x2_sb                          5
xdut.x2.x_69_.x2_net2                        5
xdut.x2.x_69_.x2_net3                        5
xdut.x2.x_69_.x2_net1                        5
xdut.x2.sr_4                       2.08524e-08
xdut.x2.x_70_.x1_net1                        5
xdut.x2.x_70_.net1                 2.19645e-08
xdut.x2.x_70_.x1_net2                        5
xdut.x2.x_70_.x1_ckp               2.08524e-08
xdut.x2.x_70_.x1_ckb                         5
xdut.x2.x_70_.x1_net3                  4.14374
xdut.x2.x_70_.x1_qm                2.60779e-08
xdut.x2.x_70_.x1_net4                        5
xdut.x2._16_                                 5
xdut.x2.x_70_.x1_qs                7.29558e-08
xdut.x2.x_70_.x1_net5              4.95168e-08
xdut.x2.x_70_.x1_net6                 0.034793
xdut.x2.x_70_.x2_sb                          5
xdut.x2.x_70_.x2_net2                        5
xdut.x2.x_70_.x2_net3                        5
xdut.x2.x_70_.x2_net1                        5
xdut.x2.sr_5                       2.08524e-08
xdut.x2.x_71_.x1_net1                        5
xdut.x2.x_71_.net1                 2.19645e-08
xdut.x2.x_71_.x1_net2                        5
xdut.x2.x_71_.x1_ckp               2.08524e-08
xdut.x2.x_71_.x1_ckb                         5
xdut.x2.x_71_.x1_net3                  4.14374
xdut.x2.x_71_.x1_qm                2.60779e-08
xdut.x2.x_71_.x1_net4                        5
